"","NAME","laborforcechildren"
"155","Census Tract 1302, Suffolk County, Massachusetts",314
"156","Census Tract 1303, Suffolk County, Massachusetts",312
"157","Census Tract 1304.02, Suffolk County, Massachusetts",551
"158","Census Tract 1304.04, Suffolk County, Massachusetts",116
"159","Census Tract 1304.06, Suffolk County, Massachusetts",503
"160","Census Tract 1401.02, Suffolk County, Massachusetts",245
"161","Census Tract 1401.05, Suffolk County, Massachusetts",150
"162","Census Tract 1401.06, Suffolk County, Massachusetts",96
"163","Census Tract 1401.07, Suffolk County, Massachusetts",113
"164","Census Tract 1402.01, Suffolk County, Massachusetts",86
"165","Census Tract 1402.02, Suffolk County, Massachusetts",278
"166","Census Tract 1403, Suffolk County, Massachusetts",394
"167","Census Tract 1404, Suffolk County, Massachusetts",586
"168","Census Tract 1601.01, Suffolk County, Massachusetts",700
"169","Census Tract 1602, Suffolk County, Massachusetts",334
"170","Census Tract 1603, Suffolk County, Massachusetts",78
"171","Census Tract 1604, Suffolk County, Massachusetts",205
"172","Census Tract 1605.01, Suffolk County, Massachusetts",378
"173","Census Tract 1605.02, Suffolk County, Massachusetts",351
"174","Census Tract 1606.01, Suffolk County, Massachusetts",356
"175","Census Tract 1606.02, Suffolk County, Massachusetts",353
"176","Census Tract 1701, Suffolk County, Massachusetts",455
"177","Census Tract 1702, Suffolk County, Massachusetts",394
"178","Census Tract 1703, Suffolk County, Massachusetts",595
"179","Census Tract 1704, Suffolk County, Massachusetts",251
"180","Census Tract 1705.01, Suffolk County, Massachusetts",116
"181","Census Tract 1705.02, Suffolk County, Massachusetts",65
"182","Census Tract 1706.01, Suffolk County, Massachusetts",194
"183","Census Tract 1707.01, Suffolk County, Massachusetts",44
"184","Census Tract 1707.02, Suffolk County, Massachusetts",298
"185","Census Tract 1708, Suffolk County, Massachusetts",319
"186","Census Tract 1801.01, Suffolk County, Massachusetts",37
"187","Census Tract 1802, Suffolk County, Massachusetts",214
"188","Census Tract 1803.01, Suffolk County, Massachusetts",157
"189","Census Tract 1804, Suffolk County, Massachusetts",73
"190","Census Tract 1805, Suffolk County, Massachusetts",159
"191","Census Tract 9801.01, Suffolk County, Massachusetts",0
"192","Census Tract 9803, Suffolk County, Massachusetts",0
"193","Census Tract 9807, Suffolk County, Massachusetts",0
"194","Census Tract 9810, Suffolk County, Massachusetts",0
"195","Census Tract 9811, Suffolk County, Massachusetts",9
"196","Census Tract 9812.01, Suffolk County, Massachusetts",0
"197","Census Tract 9812.02, Suffolk County, Massachusetts",0
"198","Census Tract 9813, Suffolk County, Massachusetts",31
"199","Census Tract 9815.01, Suffolk County, Massachusetts",0
"200","Census Tract 9815.02, Suffolk County, Massachusetts",0
"201","Census Tract 9816, Suffolk County, Massachusetts",0
"202","Census Tract 9817, Suffolk County, Massachusetts",0
"203","Census Tract 9818, Suffolk County, Massachusetts",0
"204","Census Tract 9901.01, Suffolk County, Massachusetts",0
